text_a	label
十 年 前 得 的 肺 癌 ， 今 年 开 始 出 现 胸 水 ， 但 是 化 验 瘤 细 胞 没 有 ， 不 知 啥 原 因 来 的 水 了 ？	B E O O O B E O B E B E B E B E O B E B E B I E B E O B E O B E O O O O O
请 专 家 们 看 看 现 在 情 况 怎 么 样 继 续 吃 药 还 是 手 术 胸 腔 已 做 引 流 管 抽 积 液 手 术 伤 口 不 好 好 愈 合	O B E O B E B E B E B I E B E B E B E B E B E O O B I E O B E B E B E O B E B E
现 在 把 胸 里 积 液 抽 了 ， 咳 嗽 了 ， 没 痰 了 ， 就 是 低 烧	B E O O O B E O O O B E O O O O O O B E B E
检 查 化 验 没 有 任 何 问 题 。	B E B E B E B E B E O
引 流 每 天 有 3 5 0 毫 升 的 胸 水 排 出	B E B E O B I E B E O B E B E
胸 膜 剥 脱 术 后 半 月 现 在 发 烧 ， 降 不 下 来 ， 肝 功 能 也 差 ， 说 是 胸 膜 炎 ， 输 几 天 液 了 ， 还 是 没 效 果	B E O O O O O O B E B E O O O B E O B I E B E O O O B I E O O B E O O O B E O B E
手 术 后 前 三 个 月 是 腹 部 隆 起 ， 目 前 已 经 变 小 ， 肌 肉 组 织 基 本 恢 复 正 常 ；	B E O O B E O O B E B E O B E B E O O O B E B E B E B E B E O
近 期 术 处 肋 骨 疼 痛 ， 经 常 需 要 平 躺 进 行 缓 解	B E O O B E B E O B E B E B E B E B E
怎 么 看 积 液 有 多 少 ， 自 身 吸 收 不 了 ？	B E O B E O B E O B E B E B E O
必 须 抽 水 吗	B E B E O
半 个 月 前 车 祸 导 致 左 侧 上 半 身 及 右 侧 下 半 身 多 出 骨 折 ， 一 周 前 做 了 第 二 次 外 伤 手 术 （ 约 7 个 小 时 ） ， 大 腿 ， 小 腿 ， 足 部 骨 折 手 术 ，	B I E O B E B E B E B I E O B E B I E B E B E O B E O B E O O O B E B I I E O O B I E O B E O B E O O O B E B E O
目 前 肺 部 血 栓 ， 请 问 专 家 这 种 情 况 是 打 抗 凝 药 还 是 下 过 滤 器 ？	B E B E B E O B E B E B E B E O O B I E B E O B I E O
做 完 腿 的 ， 静 脉 曲 张 后 ， 引 起 的	O O O O O B I I E O O B E O
女 , 7 7 岁 。	O O B E O O
两 周 前 化 验 是 1 . 7 9 ， 华 法 林 纳 隔 天 服 用 半 片 ， 4 分 之 3 片 ， 根 据 这 次 化 验 是 否 还 这 样 用 药 。	O O O B E O B I I E O B I I E B E B E O O O O B E O O O B E B E B E B E O B E B E O
除 腿 有 点 肿 没 有 别 的 不 适 ，	O O B E O B E B E B E O
能 吃 螺 内 脂 内 吗 ?	O O B I E O O O
还 须 搭 配 别 的 药 吗 ?	O O B E B E B E O
男 , 7 6 岁 。	O O B E O O
脚 的 食 指 发 黑 溃 烂 ， 截 掉 后 伤 口 不 愈 合 还 继 续 溃 烂	O O B E B E B E O B E O B E B I E O B E B E
高 中 在 学 校 久 坐 ， 压 力 较 大 ， 神 经 衰 弱 ， 慢 性 胃 炎	B E O B E O O O B E B E O B E B E O B E B E
2 月 前 有 胸 闷 症 状 ， 没 有 在 意 ， 去 密 云 县 医 院 拍 了 一 张 胸 片 ， 说 是 没 有 问 题 ， 后 来 就 以 为 没 事 了 ， 8 月 中 询 回 家 后 感 觉 胸 闷 气 短 ，	O O O O B E B E O B E B E O O B E O B E O O B E B E O B E B E B E O B E O B E B E O O O O B E B E O B E B E B E O
于 8 月 3 1 号 去 丽 水 市 中 心 医 院 检 查 ， 检 查 后 诊 断 说 是 肺 栓 赛	O O O B E O O B E O B E B E B E O B E O B E O O B I E
男 , 3 6 岁 。	O O B E O O
之 前 去 阜 外 让 您 就 诊 过 ， 我 现 在 服 用 的 是 法 华 林 （ 进 口 芬 兰 产 的 蓝 片 3 m g ） 吃 的 剂 量 是 : 一 又 四 分 之 一 片 。	B E O B E O O B E O O O B E B E O O B I I I I E B E O O B E O B I E O O B E B E O O B I I E O O
麻 烦 您 看 一 下 结 果 ，	B E O B I E B E O
该 如 何 调 剂 ？	O B E B E O
感 谢 您 在 百 忙 中 的 回 复 ， 谢 谢 您 ！	B E O O B E O O B E O B E O O
结 核 性 胸 膜 炎 ， 经 治 疗 积 液 已 抽 ， 现 在 在 家 按 疗 程 吃 抗 结 核 药 。	B E O B E O O O B E B E O O O B E B E O B E O O B E O O
浅 表 性 胃 溃 疡	B E O O B E
乏 力 胸 闷	B E B E
男 , 4 0 岁 。	O O B E O O
3 岁 患 病 如 今 不 能 行 走 生 活 不 能 自 理 严 重 侧 弯	O O B E B E B E B E B E B E B E B E B E
